"Days","1_Mon","2_Mon","3_Mon","4_Mon","5_Mon","6_Mon","7_Mon","8_Mon","9_Mon","10_Mon","11_Mon","12_Mon"
102,-1.78020209446767,-23.6198445613944,11.1687970859384,-14.4560128143337,-13.2832703384618,45.6147321582764,-3.5664663362891,16.2006955810801,0.923259450633394,32.2709070496832,5.79502538756744,1.80628770700706
103,-1.70579574433438,-25.0819631267392,10.9361889889852,-22.4333621221198,-9.73183595430592,45.7024439037849,-3.37356491324398,18.1255902648661,1.3008833434009,34.3962208596248,6.08635560592532,0.918783268850796
104,-1.63187709077965,-24.339399738,11.821415687713,-27.0472206577327,-10.1154366074179,45.3686331320126,-2.92184787753621,18.5990799373062,1.66817853361367,33.7141218880055,5.90499667880709,1.05731985077259
105,-0.777532425623841,-23.5428490536219,11.7876551093266,-20.571553851642,-8.21089282209738,47.3981486515593,-2.90865692978311,19.9306240658024,1.12265996177216,36.3554916217148,5.6388560164964,1.13786852167442
106,-0.837425024796228,-23.4518634039481,13.4185152933797,-14.7466161391853,-7.73494681615329,51.9671655228272,-2.54729718712371,19.0217686987853,0.989124814961456,35.7597408426393,5.95401232511944,0.994265991510854
107,-1.12471793224739,-23.2844681623622,13.7593455905541,-10.810241436265,-7.35592245295895,55.1982505821791,-2.0883852250198,19.5035020993183,1.62675136155058,35.7177886052158,5.67050772325213,0.702093471856065
108,-1.92837925956912,-22.8506046642723,13.2688504424551,-11.8954084907504,-4.30268977965598,52.3983778216697,-1.50309499940261,17.9423974655182,1.48530142391761,36.885541131021,5.53002177009142,0.324745593190682
109,-0.971411075810272,-23.2627460450106,12.6690672689745,-4.19897889937559,-4.93108533140327,54.1420687179817,-0.927292253020503,17.7310166742715,1.58073952353561,36.8750460298645,6.02762574455684,0.59535968186244
110,0.433547042333921,-24.0208060064102,14.1900578615131,-21.9695760155808,-3.07408909780026,56.0003826588124,-1.75543710230246,17.214985349592,1.51211171332833,36.7893715175737,5.73063295406178,0.375751904740499
111,-0.085708207937971,-22.4672653519572,17.7319626198743,-35.8568608077912,-3.16521074817423,57.3241803573983,-1.52272894603372,13.9443318649455,1.27415289128943,38.293445418919,6.04282743822837,-0.148110705416281
